cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,power_based_j_per_token
FULL,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2415,0.0641694448894676
NONE,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2362,0.024464186748959317
FULL,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2415,0.09572713371608796
NONE,8,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2378,0.022791134163863566
FULL,8,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2422,0.15761968694907408
NONE,512,2430,256,Qwen/Qwen3-8B_prefill-all,2199,0.023993030276153588
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,2347,0.040469052765539255
NONE,256,2430,256,Qwen/Qwen3-8B_prefill-all,2195,0.023923730014115
FULL,256,2430,256,Qwen/Qwen3-8B_decoding-all,2368,0.044592897719825206
NONE,128,2430,256,Qwen/Qwen3-8B_prefill-all,2200,0.023895826136952673
FULL,128,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.055110791048032404
NONE,64,2430,256,Qwen/Qwen3-8B_prefill-all,2215,0.024115655668392345
FULL,64,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.0805363324036045
NONE,32,2430,256,Qwen/Qwen3-8B_prefill-all,2241,0.023974412825029164
FULL,32,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.14486029722061597
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2285,0.023922119426442155
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.2499743935769676
NONE,8,2430,256,Qwen/Qwen3-8B_prefill-all,2322,0.023016069604718244
FULL,8,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.4617263237104553
