cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,total_energy_based_j_per_token
NONE,32,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2251,0.014036475287543402
FULL,32,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,0.0816517824074074
NONE,16,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2284,0.014280856662326388
FULL,16,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,0.15314868055555556
NONE,8,2430,256,nvidia/Qwen3-8B-FP8_prefill-all,2300,0.014625379774305555
FULL,8,2430,256,nvidia/Qwen3-8B-FP8_decoding-all,2422,0.2796331712962963
NONE,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2342,0.028462338553534614
FULL,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2392,0.04236012622974537
NONE,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2334,0.028476561228434245
FULL,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2392,0.0440419408275463
NONE,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2335,0.0285312245686849
FULL,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2385,0.0503447193287037
NONE,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2335,0.02847893948025174
FULL,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2420,0.06173387731481481
NONE,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2340,0.028079769558376735
FULL,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2422,0.08828016782407408
NONE,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2346,0.028065965440538194
FULL,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2422,0.1444691550925926
NONE,8,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_prefill-all,2356,0.027730631510416666
FULL,8,2430,256,JunHowie/Qwen3-8B-GPTQ-Int8_decoding-all,2422,0.2517290972222222
NONE,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2345,0.025054010603162976
FULL,512,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2414,0.037444420211226855
NONE,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2339,0.02507102330525716
FULL,256,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2407,0.038952694589120374
NONE,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2343,0.02497223832872179
FULL,128,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2396,0.044183002025462964
NONE,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2348,0.02492435540093316
FULL,64,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2407,0.050170043402777774
NONE,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2357,0.024420525444878473
FULL,32,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2415,0.06483436342592593
NONE,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2362,0.024434319390190973
FULL,16,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2415,0.09603957175925926
NONE,8,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_prefill-all,2378,0.0245360107421875
FULL,8,2430,256,JunHowie/Qwen3-8B-GPTQ-Int4_decoding-all,2422,0.158303125
NONE,512,2430,256,Qwen/Qwen3-8B_prefill-all,2199,0.023916910807291667
FULL,512,2430,256,Qwen/Qwen3-8B_decoding-all,2347,0.0404431275318287
NONE,256,2430,256,Qwen/Qwen3-8B_prefill-all,2195,0.023953744252522786
FULL,256,2430,256,Qwen/Qwen3-8B_decoding-all,2368,0.04458177083333333
NONE,128,2430,256,Qwen/Qwen3-8B_prefill-all,2200,0.023902561611599392
FULL,128,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.0552525390625
NONE,64,2430,256,Qwen/Qwen3-8B_prefill-all,2215,0.024105828179253472
FULL,64,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.08011344907407407
NONE,32,2430,256,Qwen/Qwen3-8B_prefill-all,2241,0.023998291015625
FULL,32,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.1453654398148148
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2285,0.024413316514756943
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.24981211805555556
NONE,8,2430,256,Qwen/Qwen3-8B_prefill-all,2322,0.02527045355902778
FULL,8,2430,256,Qwen/Qwen3-8B_decoding-all,2422,0.46337046296296297
