cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,latency_sec_per_token
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,8,2422,0.00030206434461805555
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,8,2422,0.006258298611111111
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,8,2422,0.00030212605794270836
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,8,2422,0.006251516203703702
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,8,2422,0.00030209282769097225
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,8,2422,0.006244171296296296
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,8,2422,0.0003021647135416667
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,8,2422,0.006239037037037036
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,8,2422,0.00030218438042534725
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,8,2422,0.006237469907407408
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,8,2422,0.000302191162109375
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,8,2422,0.00623712962962963
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,16,2422,0.0003020670572916667
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,16,2422,0.006313164351851852
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,16,2422,0.00030187106662326387
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,16,2422,0.006278291666666666
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,16,2422,0.0003019002278645833
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,16,2422,0.006258511574074074
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,16,2422,0.0003019992404513889
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,16,2422,0.006250928240740741
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,16,2422,0.00030206841362847225
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,16,2422,0.0062422890625
