cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,power_based_j_per_token
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,8,2422,0.16821836843141877
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,8,2422,2.5457583468422147
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,16,2422,0.16880734989177845
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,16,2422,2.5547811232789583
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,16,2422,0.16847586015804297
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,16,2422,2.541930231834845
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,16,2422,0.16814249252430288
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,16,2422,2.5401271294828045
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,16,2422,0.16917714225407687
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,16,2422,2.5449592343288927
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,16,2422,0.16777079146038967
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,16,2422,2.556501689519133
