cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,latency_sec_per_token
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,16,2422,0.006407085648148148
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,32,2422,0.00029649522569444444
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,32,2422,0.006600402777777778
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,32,2422,0.00029611341688368055
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,32,2422,0.006491854166666667
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,32,2422,0.0002961873372395833
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,32,2422,0.006453268518518518
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,32,2422,0.0002961459689670139
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,32,2422,0.006430476851851853
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,32,2422,0.00029612901475694443
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,32,2422,0.006414259259259259
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,32,2422,0.0002961778428819445
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,32,2422,0.006408444444444445
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,32,2422,0.000296142578125
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,32,2422,0.006406666666666665
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,64,2422,0.00029704182942708333
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,64,2422,0.006684162037037036
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,64,2422,0.0002948703342013889
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,64,2422,0.006576708333333333
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,64,2422,0.0002951829698350694
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,64,2422,0.006490208333333334
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,64,2422,0.0002955010308159722
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,64,2422,0.006448113425925926
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,64,2422,0.00029584689670138887
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,64,2422,0.006426516203703703
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,64,2422,0.00029608900282118055
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,64,2422,0.0064118263888888905
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,64,2422,0.00029615139431423613
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,64,2422,0.006409092592592594
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,128,2422,0.0002973775227864583
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,128,2422,0.007079993055555557
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,128,2422,0.0002974256727430556
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,128,2422,0.006656592592592592
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,128,2422,0.0002965257432725694
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,128,2422,0.006568414351851851
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,128,2422,0.0002946119520399306
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,128,2422,0.00647813425925926
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,128,2422,0.0002947163899739583
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,128,2422,0.006436868055555556
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,128,2422,0.0002951768663194444
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,128,2422,0.006420775462962964
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,128,2422,0.00029590861002604167
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,128,2422,0.006410092592592591
