cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,power_based_j_per_token
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,32,2422,0.16123874125936444
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,32,2422,2.558272756449301
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,32,2422,0.16097993173982864
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,32,2422,2.5547242399087886
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,32,2422,0.16032369934451685
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,32,2422,2.5503559001070957
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,32,2422,0.1599828999998567
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,32,2422,2.5481835953775365
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,32,2422,0.15977079087647633
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,32,2422,2.546664120210093
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,32,2422,0.16025109518741135
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,32,2422,2.5474804945614347
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,64,2422,0.16575521828855921
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,64,2422,2.567598498951619
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,64,2422,0.16206231327897674
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,64,2422,2.5618556842484828
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,64,2422,0.16102079578243247
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,64,2422,2.5556630526742468
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,64,2422,0.16038488263706452
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,64,2422,2.553845906005167
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,64,2422,0.15979934009438576
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,64,2422,2.5491351652537784
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,64,2422,0.1602044790058739
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,64,2422,2.5501331552136106
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,64,2422,0.16024442948889217
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,64,2422,2.5506671445936413
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,128,2422,0.17067154182787972
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,128,2422,2.591743042753918
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,128,2422,0.16652657751407535
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,128,2422,2.5629267833896012
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,128,2422,0.16270891979120208
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,128,2422,2.5601099376697913
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,128,2422,0.1602110178463645
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,128,2422,2.553122068470361
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,128,2422,0.16083668682624444
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,128,2422,2.5495127697995237
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,128,2422,0.1595151090325154
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,128,2422,2.5501339221204735
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,128,2422,0.16010070105837254
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,128,2422,2.5482944174575
