cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sleep_freq,kernel,sleep_ns,sm_clock,total_energy_based_j_per_token
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,4,2422,2.5836500925925923
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,4,2422,0.16155823432074654
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,4,2422,2.572720046296296
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,4,2422,0.16049342854817708
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,4,2422,2.568903101851852
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,4,2422,0.16096402316623265
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,4,2422,2.5617363425925923
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,4,2422,0.16133163113064236
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,4,2422,2.5681049305555557
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,4,2422,0.160678215874566
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,4,2422,2.5602590046296294
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,4,2422,0.16029622395833332
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,4,2422,2.5590737037037035
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,8,2422,0.16322283935546877
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,8,2422,2.5710431712962962
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,8,2422,0.1613774888780382
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,8,2422,2.5653606018518516
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,8,2422,0.16110682508680557
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,8,2422,2.560745625
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,8,2422,0.15971637641059028
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,8,2422,2.5568111574074073
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,8,2422,0.16016493733723958
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,8,2422,2.560497407407407
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,8,2422,0.15980225287543404
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,8,2422,2.556579166666667
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,8,2422,0.16047273763020833
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,8,2422,2.5537616435185186
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,16,2422,0.16292068820529515
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,16,2422,2.5705935416666668
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,16,2422,0.1610220201280382
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,16,2422,2.561881967592593
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,16,2422,0.1596362101236979
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,16,2422,2.557468310185185
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,16,2422,0.15972450764973958
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,16,2422,2.553265972222222
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,16,2422,0.16046825493706598
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,16,2422,2.5582000925925925
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,16,2422,0.1592620103624132
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,16,2422,2.5521415740740743
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,16,2422,0.1597151421440972
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,16,2422,2.553330810185185
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,32,2422,0.1622519802517361
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,32,2422,2.5729204166666664
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,32,2422,0.1603406236436632
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,32,2422,2.5585672222222224
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,32,2422,0.15939318169487848
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,32,2422,2.5505902083333334
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,32,2422,0.15920026312934027
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,32,2422,2.552194814814815
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,32,2422,0.1592636447482639
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,32,2422,2.5528399999999998
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,32,2422,0.1603327907986111
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,32,2422,2.546201527777778
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,32,2422,0.15918499755859375
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,32,2422,2.545727847222222
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,64,2422,0.1651515367296007
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,64,2422,2.567341527777778
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,64,2422,0.16118328857421874
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,64,2422,2.561883078703704
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,64,2422,0.16036578369140625
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,64,2422,2.5553470833333334
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,64,2422,0.1604275173611111
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,64,2422,2.554351064814815
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,64,2422,0.15958924696180554
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,64,2422,2.549828726851852
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,64,2422,0.15921890597873264
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,64,2422,2.549051412037037
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,64,2422,0.15957824028862846
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,64,2422,2.548842731481481
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,1,custom,128,2422,0.17027983940972222
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,1,custom,128,2422,2.588475023148148
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,2,custom,128,2422,0.16624521213107638
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,2,custom,128,2422,2.563022199074074
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,4,custom,128,2422,0.16233237711588544
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,4,custom,128,2422,2.560875185185185
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,8,custom,128,2422,0.16067991807725696
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,8,custom,128,2422,2.5543624537037037
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,16,custom,128,2422,0.1597456800672743
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,16,custom,128,2422,2.5492125
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,32,custom,128,2422,0.15966942681206597
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,32,custom,128,2422,2.548483009259259
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-all,64,custom,128,2422,0.15980101860894097
NONE,16,2430,256,Qwen/Qwen3-8B_decoding-all,64,custom,128,2422,2.5518415972222224
