cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,power_based_j_per_token
FULL,16,930,1024,Qwen/Qwen3-8B_decoding-mlp,0.15070781304985453
NONE,16,2430,512,Qwen/Qwen3-8B_prefill-mlp,0.01783281582546658
FULL,16,2430,512,Qwen/Qwen3-8B_decoding-mlp,0.17848674380114926
NONE,16,2130,512,Qwen/Qwen3-8B_prefill-mlp,0.017178010608840215
FULL,16,2130,512,Qwen/Qwen3-8B_decoding-mlp,0.15262081371947955
NONE,16,1830,512,Qwen/Qwen3-8B_prefill-mlp,0.015516535278938863
FULL,16,1830,512,Qwen/Qwen3-8B_decoding-mlp,0.14387261273193194
NONE,16,1530,512,Qwen/Qwen3-8B_prefill-mlp,0.013505139419007913
FULL,16,1530,512,Qwen/Qwen3-8B_decoding-mlp,0.14949308125738542
NONE,16,1230,512,Qwen/Qwen3-8B_prefill-mlp,0.013617713863491109
FULL,16,1230,512,Qwen/Qwen3-8B_decoding-mlp,0.14900336404393424
NONE,16,930,512,Qwen/Qwen3-8B_prefill-mlp,0.014338417207590742
FULL,16,930,512,Qwen/Qwen3-8B_decoding-mlp,0.18738998225847264
NONE,16,2430,256,Qwen/Qwen3-8B_prefill-mlp,0.018014859299540015
FULL,16,2430,256,Qwen/Qwen3-8B_decoding-mlp,0.17942924052736234
NONE,16,2130,256,Qwen/Qwen3-8B_prefill-mlp,0.016762589750374497
FULL,16,2130,256,Qwen/Qwen3-8B_decoding-mlp,0.1527955601215675
NONE,16,1830,256,Qwen/Qwen3-8B_prefill-mlp,0.015070059143293835
FULL,16,1830,256,Qwen/Qwen3-8B_decoding-mlp,0.14448002311667787
NONE,16,1530,256,Qwen/Qwen3-8B_prefill-mlp,0.013053885810173258
FULL,16,1530,256,Qwen/Qwen3-8B_decoding-mlp,0.1495108713830996
NONE,16,1230,256,Qwen/Qwen3-8B_prefill-mlp,0.01375354878944063
FULL,16,1230,256,Qwen/Qwen3-8B_decoding-mlp,0.14898825730520573
NONE,16,930,256,Qwen/Qwen3-8B_prefill-mlp,0.013788023597486092
FULL,16,930,256,Qwen/Qwen3-8B_decoding-mlp,0.15057268746845112
