cudagraph_mode,batch_size,sm_clock,input_len,model_name,power_based_j_per_token
FULL,64,922,256,nvidia/Qwen3-8B-FP8,0.04021804239815558
FULL,64,930,256,nvidia/Qwen3-8B-FP8,0.04012199498876635
FULL,16,922,256,nvidia/Qwen3-8B-FP8,0.12836504114723124
FULL,16,930,256,nvidia/Qwen3-8B-FP8,0.12815761121655703
FULL,8,922,256,nvidia/Qwen3-8B-FP8,0.2377914201128062
FULL,8,930,256,nvidia/Qwen3-8B-FP8,0.23800702132775062
FULL,512,1230,256,nvidia/Qwen3-8B-FP8,0.02160015036761723
FULL,256,1230,256,nvidia/Qwen3-8B-FP8,0.024165684686368323
FULL,128,1230,256,nvidia/Qwen3-8B-FP8,0.028718837663845236
FULL,64,1230,256,nvidia/Qwen3-8B-FP8,0.03963937708779304
FULL,16,1230,256,nvidia/Qwen3-8B-FP8,0.1252202759689388
FULL,8,1230,256,nvidia/Qwen3-8B-FP8,0.23291691234733675
FULL,512,1530,256,nvidia/Qwen3-8B-FP8,0.02122773267142576
FULL,256,1515,256,nvidia/Qwen3-8B-FP8,0.02321846819212136
FULL,128,1522,256,nvidia/Qwen3-8B-FP8,0.0300442304844917
FULL,64,1530,256,nvidia/Qwen3-8B-FP8,0.04038788451295262
FULL,16,1530,256,nvidia/Qwen3-8B-FP8,0.12607669762429533
FULL,8,1530,256,nvidia/Qwen3-8B-FP8,0.23243664671657605
FULL,512,1815,256,nvidia/Qwen3-8B-FP8,0.0220936485644639
FULL,256,1792,256,nvidia/Qwen3-8B-FP8,0.024313853385327117
FULL,128,1807,256,nvidia/Qwen3-8B-FP8,0.028561743503231794
FULL,64,1830,256,nvidia/Qwen3-8B-FP8,0.041010187339372825
FULL,16,1830,256,nvidia/Qwen3-8B-FP8,0.12928845135027192
FULL,8,1830,256,nvidia/Qwen3-8B-FP8,0.23824189692032216
FULL,512,2092,256,nvidia/Qwen3-8B-FP8,0.024129285190500876
FULL,256,2070,256,nvidia/Qwen3-8B-FP8,0.026673301757612462
FULL,128,2115,256,nvidia/Qwen3-8B-FP8,0.03126322102137476
FULL,64,2130,256,nvidia/Qwen3-8B-FP8,0.04181561798361637
FULL,16,2130,256,nvidia/Qwen3-8B-FP8,0.13650383703450575
FULL,8,2130,256,nvidia/Qwen3-8B-FP8,0.26512888337267115
FULL,512,2370,256,nvidia/Qwen3-8B-FP8,0.028513690898196272
FULL,512,2362,256,nvidia/Qwen3-8B-FP8,0.028086559994714197
FULL,256,2362,256,nvidia/Qwen3-8B-FP8,0.031759528208842855
FULL,256,2370,256,nvidia/Qwen3-8B-FP8,0.032381902227873446
FULL,128,2415,256,nvidia/Qwen3-8B-FP8,0.03780029857910649
FULL,64,2422,256,nvidia/Qwen3-8B-FP8,0.04998638850074706
FULL,16,2422,256,nvidia/Qwen3-8B-FP8,0.15183738424088103
FULL,8,2422,256,nvidia/Qwen3-8B-FP8,0.27897485336133326
FULL,512,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.04384465716163972
FULL,256,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.04619694913959169
FULL,128,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.05543355570484388
FULL,64,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.06742368142965144
FULL,16,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.1460109049145508
FULL,8,330,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.2592089025107622
FULL,512,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.03308458231152198
FULL,256,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.03512773944326746
FULL,128,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.042071426025894997
FULL,64,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.051308529246005735
FULL,16,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.12515108267729724
FULL,8,630,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.22751080378796298
FULL,512,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.03053540322597763
FULL,256,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.03256233111229293
FULL,128,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.03850548906782387
FULL,128,922,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.03843497711859809
FULL,64,922,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.04799570237113385
FULL,64,915,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.047820186715135056
FULL,16,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.1223939665660235
FULL,8,930,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.2227065391314788
FULL,512,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.030258679077828848
FULL,256,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.031935531694232355
FULL,128,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.03793661670161135
FULL,64,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.046978053300124265
FULL,16,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.11971224117720526
FULL,8,1230,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.21762871370711204
FULL,512,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.029391541095811415
FULL,256,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.030839129136805997
FULL,128,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.03755091323105644
FULL,64,1522,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.04896556749599053
FULL,16,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.12067504263193234
FULL,8,1530,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.21594749288079632
FULL,512,1822,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.031743744459130564
FULL,256,1815,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.03327589480763767
FULL,256,1822,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.03372946592296725
FULL,128,1815,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.03846573687923892
FULL,64,1807,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.04792625819101041
FULL,64,1815,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.046236763828125
FULL,16,1830,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.1220538310748371
FULL,8,1830,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.21719462192590488
FULL,512,2122,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.03504079501778194
FULL,256,2115,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.03678068381698401
FULL,128,2107,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.04244523659013662
FULL,128,2115,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.04294444277599335
FULL,64,2122,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.05132606537927791
FULL,16,2130,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.12173193196652721
FULL,8,2130,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.228205235963426
FULL,512,2400,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.0411615829126054
FULL,512,2392,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.04318336892016321
FULL,256,2392,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.04518116837649232
FULL,128,2385,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.05102478309024729
FULL,64,2415,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.06160193833865976
FULL,16,2422,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.14469803313866025
FULL,8,2422,256,JunHowie/Qwen3-8B-GPTQ-Int8,0.25381747251477094
FULL,512,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.03816292957065179
FULL,256,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.04045528669317286
FULL,128,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.04854348223400804
FULL,64,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.05794214864157748
FULL,16,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.11546475692477698
FULL,8,330,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.1912595898251111
FULL,512,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.028411795787082094
FULL,256,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.030503678448774222
FULL,128,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.03623647371461681
FULL,64,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.04328223253739844
FULL,16,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.08583077090507543
FULL,8,630,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.14638362855055556
FULL,512,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.026227877240415687
FULL,256,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.02818480763577959
FULL,128,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.0333922402971822
FULL,128,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.033874839702597914
FULL,64,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.03979018265181798
FULL,16,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.08107260708744857
FULL,8,930,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.13919147151536196
FULL,8,922,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.1395729796735375
FULL,512,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.026080305239318063
FULL,256,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.027681264225698003
FULL,128,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.03244282374871658
FULL,64,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.037997486295036034
FULL,16,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.07921698117043957
FULL,8,1230,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.13556754752165287
FULL,512,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.02457257795972703
FULL,256,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.026759250045735615
FULL,128,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.03171419033945789
FULL,64,1522,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.03943818021171237
FULL,16,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.08128716886169737
FULL,8,1530,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.13700794845715325
FULL,512,1830,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.027564164604539452
FULL,256,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.028838847645511336
FULL,128,1815,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.033797914499768905
FULL,128,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.03437221851093308
FULL,64,1807,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.038472919597104624
FULL,16,1815,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.07897670326727843
FULL,16,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.08303375552332094
FULL,8,1822,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.13829894786561728
FULL,512,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.029410101292964244
FULL,512,2130,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.03060320833665617
FULL,256,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.032076799311175304
FULL,128,2115,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.03651911676475565
FULL,64,2115,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.04195971466633357
FULL,16,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.08178079496200992
FULL,8,2122,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.13577274717522322
FULL,8,2115,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.14364361113537852
FULL,512,2415,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.03809916646235294
FULL,256,2407,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.03971632963217794
FULL,128,2392,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.04401291923929989
FULL,128,2400,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.04444336552451636
FULL,64,2407,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.050492257606423126
FULL,16,2415,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.09727202218509547
FULL,8,2422,256,JunHowie/Qwen3-8B-GPTQ-Int4,0.1594900156410985
