batch_size,sm_clock,input_len,model_name,latency_sec_per_token
512,2092,256,Qwen/Qwen3-8B,8.085433916488602e-05
256,2085,256,Qwen/Qwen3-8B,9.219985391260161e-05
128,2130,256,Qwen/Qwen3-8B,0.00012559224123677247
64,2130,256,Qwen/Qwen3-8B,0.00021505326704545453
16,2130,256,Qwen/Qwen3-8B,0.0007163233024691358
8,2130,256,Qwen/Qwen3-8B,0.0013827463768115943
512,2355,256,Qwen/Qwen3-8B,7.545442151887464e-05
256,2370,256,Qwen/Qwen3-8B,8.699984120934959e-05
128,2422,256,Qwen/Qwen3-8B,0.0001221019118394309
64,2422,256,Qwen/Qwen3-8B,0.00021003196022727276
16,2422,256,Qwen/Qwen3-8B,0.0006982980967078188
8,2422,256,Qwen/Qwen3-8B,0.0013536203703703705
512,330,256,nvidia/Qwen3-8B-NVFP4,0.00020799876829954956
256,330,256,nvidia/Qwen3-8B-NVFP4,0.00025971006944444446
128,330,256,nvidia/Qwen3-8B-NVFP4,0.0003792202888257576
64,330,256,nvidia/Qwen3-8B-NVFP4,0.0006471162037037037
16,330,256,nvidia/Qwen3-8B-NVFP4,0.0024134685846560846
8,330,256,nvidia/Qwen3-8B-NVFP4,0.004689788431677019
512,630,256,nvidia/Qwen3-8B-NVFP4,0.00011500447789634146
256,630,256,nvidia/Qwen3-8B-NVFP4,0.000144176917989418
128,630,256,nvidia/Qwen3-8B-NVFP4,0.00020914892199612402
64,630,256,nvidia/Qwen3-8B-NVFP4,0.00036838181818181823
16,630,256,nvidia/Qwen3-8B-NVFP4,0.0014072288359788358
8,630,256,nvidia/Qwen3-8B-NVFP4,0.0027544847883597882
512,930,256,nvidia/Qwen3-8B-NVFP4,9.072288411458333e-05
256,930,256,nvidia/Qwen3-8B-NVFP4,0.00011431886574074077
128,930,256,nvidia/Qwen3-8B-NVFP4,0.0001648234617248062
64,930,256,nvidia/Qwen3-8B-NVFP4,0.0002898724431818182
16,930,256,nvidia/Qwen3-8B-NVFP4,0.001101747023809524
8,930,256,nvidia/Qwen3-8B-NVFP4,0.0022040333850931676
512,1230,256,nvidia/Qwen3-8B-NVFP4,7.606892694978633e-05
256,1230,256,nvidia/Qwen3-8B-NVFP4,9.285408197831979e-05
128,1230,256,nvidia/Qwen3-8B-NVFP4,0.0001327681383236434
64,1230,256,nvidia/Qwen3-8B-NVFP4,0.0002303577178030303
16,1230,256,nvidia/Qwen3-8B-NVFP4,0.0008682837301587302
8,1230,256,nvidia/Qwen3-8B-NVFP4,0.0017127558876811593
512,1530,256,nvidia/Qwen3-8B-NVFP4,6.21662383497807e-05
256,1522,256,nvidia/Qwen3-8B-NVFP4,7.60111328125e-05
128,1522,256,nvidia/Qwen3-8B-NVFP4,0.00010907050304878049
64,1530,256,nvidia/Qwen3-8B-NVFP4,0.00018891022286821705
16,1530,256,nvidia/Qwen3-8B-NVFP4,0.000712454365079365
8,1530,256,nvidia/Qwen3-8B-NVFP4,0.001403342261904762
512,1815,256,nvidia/Qwen3-8B-NVFP4,5.3793242872807015e-05
256,1815,256,nvidia/Qwen3-8B-NVFP4,6.595154079861111e-05
128,1815,256,nvidia/Qwen3-8B-NVFP4,9.424451264880954e-05
64,1822,256,nvidia/Qwen3-8B-NVFP4,0.00016167160852713177
16,1830,256,nvidia/Qwen3-8B-NVFP4,0.0006059847883597883
8,1830,256,nvidia/Qwen3-8B-NVFP4,0.001192875905797102
512,2115,256,nvidia/Qwen3-8B-NVFP4,5.070427389705882e-05
256,2107,256,nvidia/Qwen3-8B-NVFP4,6.199583333333333e-05
128,2115,256,nvidia/Qwen3-8B-NVFP4,8.765183738425924e-05
64,2122,256,nvidia/Qwen3-8B-NVFP4,0.00014524418604651166
16,2130,256,nvidia/Qwen3-8B-NVFP4,0.0005334892526455027
8,2130,256,nvidia/Qwen3-8B-NVFP4,0.0010476167328042328
512,2407,256,nvidia/Qwen3-8B-NVFP4,4.857271773726851e-05
256,2407,256,nvidia/Qwen3-8B-NVFP4,5.820045230263157e-05
128,2415,256,nvidia/Qwen3-8B-NVFP4,8.215853658536586e-05
64,2422,256,nvidia/Qwen3-8B-NVFP4,0.00013427596899224806
16,2422,256,nvidia/Qwen3-8B-NVFP4,0.0004928052248677248
8,2295,256,nvidia/Qwen3-8B-NVFP4,0.000995044642857143
