batch_size,sm_clock,input_len,model_name,total_energy_based_j_per_token
16,1830,256,Qwen/Qwen3-8B,0.20466842592592593
8,1830,256,Qwen/Qwen3-8B,0.3930080253623189
512,2092,256,Qwen/Qwen3-8B,0.03475491202590812
256,2085,256,Qwen/Qwen3-8B,0.03762931688262195
128,2130,256,Qwen/Qwen3-8B,0.045446199673445764
64,2130,256,Qwen/Qwen3-8B,0.06709809264520201
16,2130,256,Qwen/Qwen3-8B,0.21224699845679013
8,2130,256,Qwen/Qwen3-8B,0.411461856884058
512,2355,256,Qwen/Qwen3-8B,0.04107145989138177
256,2370,256,Qwen/Qwen3-8B,0.045194899961890245
128,2422,256,Qwen/Qwen3-8B,0.055049378069952574
64,2422,256,Qwen/Qwen3-8B,0.08010782670454546
16,2422,256,Qwen/Qwen3-8B,0.24976658693415638
8,2422,256,Qwen/Qwen3-8B,0.4612074120370371
512,330,256,nvidia/Qwen3-8B-NVFP4,0.02463716990427928
256,330,256,nvidia/Qwen3-8B-NVFP4,0.02797261950904393
128,330,256,nvidia/Qwen3-8B-NVFP4,0.035763043915719696
64,330,256,nvidia/Qwen3-8B-NVFP4,0.05621549722222222
16,330,256,nvidia/Qwen3-8B-NVFP4,0.19049397156084658
8,330,256,nvidia/Qwen3-8B-NVFP4,0.3629400491718427
512,630,256,nvidia/Qwen3-8B-NVFP4,0.018544864392784553
256,630,256,nvidia/Qwen3-8B-NVFP4,0.020835979249338624
128,630,256,nvidia/Qwen3-8B-NVFP4,0.026193905644379845
64,630,256,nvidia/Qwen3-8B-NVFP4,0.04179340151515152
16,630,256,nvidia/Qwen3-8B-NVFP4,0.14115699735449735
8,630,256,nvidia/Qwen3-8B-NVFP4,0.2706697619047619
512,930,256,nvidia/Qwen3-8B-NVFP4,0.0171144072265625
256,930,256,nvidia/Qwen3-8B-NVFP4,0.01930703703703704
128,930,256,nvidia/Qwen3-8B-NVFP4,0.023989119428294577
64,930,256,nvidia/Qwen3-8B-NVFP4,0.038045792613636366
16,930,256,nvidia/Qwen3-8B-NVFP4,0.1269829861111111
8,930,256,nvidia/Qwen3-8B-NVFP4,0.24676955874741202
512,1230,256,nvidia/Qwen3-8B-NVFP4,0.017086871995192307
256,1230,256,nvidia/Qwen3-8B-NVFP4,0.018792552083333334
128,1230,256,nvidia/Qwen3-8B-NVFP4,0.022906800205910852
64,1230,256,nvidia/Qwen3-8B-NVFP4,0.03613739678030303
16,1230,256,nvidia/Qwen3-8B-NVFP4,0.11780114417989418
8,1230,256,nvidia/Qwen3-8B-NVFP4,0.22472889169254662
512,1530,256,nvidia/Qwen3-8B-NVFP4,0.017424318976151317
256,1522,256,nvidia/Qwen3-8B-NVFP4,0.019533265625
128,1522,256,nvidia/Qwen3-8B-NVFP4,0.02351840256605691
64,1530,256,nvidia/Qwen3-8B-NVFP4,0.03636497965116279
16,1530,256,nvidia/Qwen3-8B-NVFP4,0.11880449239417988
8,1530,256,nvidia/Qwen3-8B-NVFP4,0.22599337962962962
512,1815,256,nvidia/Qwen3-8B-NVFP4,0.017285654810855262
256,1815,256,nvidia/Qwen3-8B-NVFP4,0.019260877604166667
128,1815,256,nvidia/Qwen3-8B-NVFP4,0.024105509362599205
64,1822,256,nvidia/Qwen3-8B-NVFP4,0.03713781686046511
16,1830,256,nvidia/Qwen3-8B-NVFP4,0.1191587251984127
8,1830,256,nvidia/Qwen3-8B-NVFP4,0.22713838962215321
512,2115,256,nvidia/Qwen3-8B-NVFP4,0.018883587239583333
256,2107,256,nvidia/Qwen3-8B-NVFP4,0.020446778645833334
128,2115,256,nvidia/Qwen3-8B-NVFP4,0.02533240523726852
64,2122,256,nvidia/Qwen3-8B-NVFP4,0.04046488226744186
16,2130,256,nvidia/Qwen3-8B-NVFP4,0.13201718584656086
8,2130,256,nvidia/Qwen3-8B-NVFP4,0.2498070701058201
512,2407,256,nvidia/Qwen3-8B-NVFP4,0.022694265588831017
256,2407,256,nvidia/Qwen3-8B-NVFP4,0.024358707967836256
128,2415,256,nvidia/Qwen3-8B-NVFP4,0.02830124555386179
64,2422,256,nvidia/Qwen3-8B-NVFP4,0.04192668507751938
16,2422,256,nvidia/Qwen3-8B-NVFP4,0.1346034871031746
8,2295,256,nvidia/Qwen3-8B-NVFP4,0.2747518920068027
