cudagraph_mode,batch_size,target_sm_clock,input_len,model_name,sm_clock,latency_sec_per_token
FULL,256,930,256,Qwen/Qwen3-8B_decoding-all,928,0.00018490325749269005
NONE,128,930,256,Qwen/Qwen3-8B_prefill-all,930,9.13970947265625e-05
FULL,128,930,256,Qwen/Qwen3-8B_decoding-all,930,0.0002259637447205978
NONE,64,930,256,Qwen/Qwen3-8B_prefill-all,930,9.259236653645833e-05
FULL,64,930,256,Qwen/Qwen3-8B_decoding-all,930,0.000372351288377193
NONE,32,930,256,Qwen/Qwen3-8B_prefill-all,930,9.388834635416668e-05
FULL,32,930,256,Qwen/Qwen3-8B_decoding-all,930,0.0006763470090155945
NONE,16,930,256,Qwen/Qwen3-8B_prefill-all,930,9.576212565104165e-05
FULL,16,930,256,Qwen/Qwen3-8B_decoding-all,930,0.0012688124390838205
NONE,8,930,256,Qwen/Qwen3-8B_prefill-all,930,9.925944010416667e-05
FULL,8,930,256,Qwen/Qwen3-8B_decoding-all,930,0.0024533625730994153
